"Simulation" "Statistic" "Tool" "Value"
"87" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.880767684447933
"88" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.881967061765555
"89" "RSEMsim" "spearmans" "Sailfish_cor" 0.878212290062812
"90" "RSEMsim" "spearmans" "eXpress_cor" 0.554948170251146
"91" "RSEMsim" "spearmans" "Kallisto_cor" 0.882406561326802
"92" "RSEMsim" "spearmans" "RSEM_cor" 0.853637428429077
"93" "RSEMsim" "spearmans" "Salmon_align_cor" 0.786313655083016
"94" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.870231072080137
"95" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.875483970557334
"96" "RSEMsim" "spearmans" "Sailfish_cor" 0.864980644089089
"97" "RSEMsim" "spearmans" "eXpress_cor" 0.54573036303116
"98" "RSEMsim" "spearmans" "Kallisto_cor" 0.871242525279712
"99" "RSEMsim" "spearmans" "RSEM_cor" 0.857572138058332
"100" "RSEMsim" "spearmans" "Salmon_align_cor" 0.785308173597922
"101" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.868955304635079
"102" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.876958160769655
"103" "RSEMsim" "spearmans" "Sailfish_cor" 0.865802499798276
"104" "RSEMsim" "spearmans" "eXpress_cor" 0.556393310345952
"105" "RSEMsim" "spearmans" "Kallisto_cor" 0.869731162469343
"106" "RSEMsim" "spearmans" "RSEM_cor" 0.86090129625007
"107" "RSEMsim" "spearmans" "Salmon_align_cor" 0.792452106148187
"108" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.881635856366975
"109" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.884402748344447
"110" "RSEMsim" "spearmans" "Sailfish_cor" 0.877792786445821
"111" "RSEMsim" "spearmans" "eXpress_cor" 0.551236369200063
"112" "RSEMsim" "spearmans" "Kallisto_cor" 0.882244773525461
"113" "RSEMsim" "spearmans" "RSEM_cor" 0.866465240938639
"114" "RSEMsim" "spearmans" "Salmon_align_cor" 0.802002222024538
"115" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.887518315599134
"116" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.890493954557141
"117" "RSEMsim" "spearmans" "Sailfish_cor" 0.880841266950738
"118" "RSEMsim" "spearmans" "eXpress_cor" 0.546208367590211
"119" "RSEMsim" "spearmans" "Kallisto_cor" 0.88742040901431
"120" "RSEMsim" "spearmans" "RSEM_cor" 0.877296676776643
"121" "RSEMsim" "spearmans" "Salmon_align_cor" 0.817044593912567
"122" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.89399124084682
"123" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.899663225194265
"124" "RSEMsim" "spearmans" "Sailfish_cor" 0.888554223992446
"125" "RSEMsim" "spearmans" "eXpress_cor" 0.56323803643564
"126" "RSEMsim" "spearmans" "Kallisto_cor" 0.895354014945586
"127" "RSEMsim" "spearmans" "RSEM_cor" 0.888740336761475
"128" "RSEMsim" "spearmans" "Salmon_align_cor" 0.815435881990132
"129" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.903671623045932
"130" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.906109616616101
"131" "RSEMsim" "spearmans" "Sailfish_cor" 0.898422005627899
"132" "RSEMsim" "spearmans" "eXpress_cor" 0.564232302468018
"133" "RSEMsim" "spearmans" "Kallisto_cor" 0.904741800664329
"134" "RSEMsim" "spearmans" "RSEM_cor" 0.885014754313033
"135" "RSEMsim" "spearmans" "Salmon_align_cor" 0.813411471706826
"136" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.893895690457726
