"Statistic" "Tool" "Sample_name" "Value"
"59" "precision" "Salmon_quasi_precision" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.901056112652016
"60" "precision" "Salmon_SMEM_precision" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.902392140111064
"61" "precision" "Sailfish_precision" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.901642845700657
"62" "precision" "eXpress_precision" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.68149459244895
"63" "precision" "Kallisto_precision" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.904006856653096
"64" "precision" "RSEM_precision" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.916790954181263
"65" "precision" "Salmon_align_precision" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.894215404282518
"66" "precision" "Salmon_quasi_precision" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.902077000152845
"67" "precision" "Salmon_SMEM_precision" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.904027085424571
"68" "precision" "Sailfish_precision" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.900578054279466
"69" "precision" "eXpress_precision" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.697548587981573
"70" "precision" "Kallisto_precision" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.904274348796402
"71" "precision" "RSEM_precision" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.921780322051488
"72" "precision" "Salmon_align_precision" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.900142111177209
"73" "precision" "Salmon_quasi_precision" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.90570577451879
"74" "precision" "Salmon_SMEM_precision" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.907404068385595
"75" "precision" "Sailfish_precision" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.904752562656334
"76" "precision" "eXpress_precision" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.708549238971644
"77" "precision" "Kallisto_precision" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.908108463218749
"78" "precision" "RSEM_precision" "ERR522956" 0.916582461205341
"79" "precision" "Salmon_align_precision" "ERR522956" 0.887531282202267
"80" "precision" "Salmon_quasi_precision" "ERR522956" 0.91051390179401
"81" "precision" "Salmon_SMEM_precision" "ERR522956" 0.912872742921695
"82" "precision" "Sailfish_precision" "ERR522956" 0.910803413298986
"83" "precision" "eXpress_precision" "ERR522956" 0.737850705662302
"84" "precision" "Kallisto_precision" "ERR522956" 0.917310608796129
"85" "recall" "RSEM_recall" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.962147215865751
"86" "recall" "Salmon_align_recall" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.966475972540046
"87" "recall" "Salmon_quasi_recall" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.96641876430206
"88" "recall" "Salmon_SMEM_recall" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.966819221967963
