"Filename" "Unique" "NonUnique" "Unmapped" "NumAlignments" "NumReads"
"1" "sample_76" 3352560 29786 0 3440392 1693038
"5" "sample_51" 4203462 30808 0 4280930 2121036
"6" "sample_28" 1982724 21530 0 2041564 1002837
"7" "sample_26" 4242766 45650 0 4372078 2154894
"10" "sample_34" 3172840 21496 0 3227206 1598926
"11" "sample_52" 2987168 26676 0 3054246 1507505
"12" "sample_42" 1925630 23140 0 1989524 984776
"14" "sample_9" 3842284 22926 0 3898364 1933927
"15" "sample_29" 3459350 63694 0 3628134 1763800
"16" "sample_44" 2418124 49176 0 2564144 1235882
"19" "sample_77" 3826382 51232 0 3971012 1939414
"20" "sample_72" 3387242 18706 0 3445204 1706281
"21" "sample_22" 1688612 21754 0 1747550 856278
"22" "sample_89" 2353672 69760 0 2546546 1218286
"26" "sample_68" 10264410 24636 0 10325146 5145185
"29" "sample_79" 7323866 100184 0 7610746 3717760
"30" "sample_21" 2696026 195034 0 3295340 1450367
"32" "sample_69" 4056506 43928 0 4210238 2053722
"35" "sample_41" 2179390 18788 0 2228870 1101797
"37" "sample_4" 3911260 63466 0 4096464 1988345
"39" "sample_10" 704398 4988 0 715438 354710
"41" "sample_12" 5776 2 0 5780 2889
"48" "sample_78" 4066792 32592 0 4222870 2097052
"50" "sample_53" 3644494 68376 0 3841386 1858064
"52" "sample_14" 2291816 56934 0 2453180 1177878
"53" "sample_16" 2606288 83938 0 2813040 1348131
"54" "sample_19" 6774294 278524 0 7394744 3527163
"55" "sample_23" 3830044 426976 0 4708620 2129688
"56" "sample_56" 1638004 11596 0 1667798 826942
"57" "sample_62" 2524638 75926 0 2707154 1303337
"60" "sample_18" 2883280 37600 0 2987842 1465863
"61" "sample_38" 2063904 37626 0 2170594 1051496
"63" "sample_11" 2463714 117060 0 2797708 1302316
"67" "sample_63" 2296412 27802 0 2371212 1163374
"69" "sample_48" 2698136 185900 0 3264960 1461898
"70" "sample_66" 7304308 26344 0 7371200 3668615
"72" "sample_58" 4693448 109388 0 4965046 2406114
"74" "sample_39" 3317516 33198 0 3410596 1676305
"75" "sample_43" 3239326 37864 0 3331008 1646150
"77" "sample_46" 3921364 16904 0 3964410 1969619
"84" "sample_31" 2800648 75074 0 3050786 1465082
"89" "sample_88" 3268874 32598 0 3342104 1653001
"91" "sample_71" 2626396 15572 0 2665704 1325304
"92" "sample_1" 80964 54 0 81072 40531
"94" "sample_80" 2709306 89274 0 2958344 1402344
"96" "sample_25" 4410114 71702 0 4610246 2245612
"97" "sample_84" 4763502 42092 0 4866344 2408692
"99" "sample_82" 3433066 28960 0 3501992 1732743
"100" "sample_33" 4584414 174242 0 4957314 2380230
"102" "sample_47" 3945076 12584 0 3974268 1979672
"103" "sample_57" 4276864 56748 0 4447864 2168696
"106" "sample_59" 2264158 43512 0 2373690 1154925
"107" "sample_8" 3252124 54146 0 3396110 1658776
"115" "sample_30" 4036076 81652 0 4230200 2062423
"120" "sample_32" 4617688 42606 0 4759620 2332906
"122" "sample_60" 3811382 771986 0 5375532 2293143
"124" "sample_27" 6863014 76978 0 7111090 3501763
"125" "sample_70" 3397662 18648 0 3439510 1708877
"127" "sample_3" 3212906 21956 0 3269718 1621044
"128" "sample_64" 3944492 23034 0 4015202 1984752
"129" "sample_73" 4798330 38024 0 4904180 2419002
"133" "sample_6" 2806404 26282 0 2873384 1465640
"139" "sample_45" 4109072 27730 0 4184142 2069252
"141" "sample_7" 2203610 23518 0 2272076 1115582
"143" "sample_20" 4966038 25478 0 5026968 2498709
"149" "sample_54" 2637074 33448 0 2737500 1339618
"158" "sample_2" 8692632 169206 0 9122766 4449708
"167" "sample_5" 4818452 128034 0 5210498 2492031
"168" "sample_17" 6478860 69162 0 6669874 3282393
"169" "sample_87" 5756058 50746 0 5869740 2916564
"171" "sample_86" 4257226 76668 0 4466980 2179228
"175" "sample_40" 8883588 71802 0 9080736 4491771
"310" "sample_49" 2268550 45438 0 2385280 1162852
"610" "sample_50" 10589034 100452 0 10950558 5424451
"13" "sample_85" 3253356 18820 0 3303416 1640271
"172" "sample_15" 3413394 44790 0 3529966 1731162
"241" "sample_75" 2603504 53568 0 2745636 1332890
"251" "sample_67" 5330538 55862 0 5464248 2694438
"271" "sample_65" 3908942 57198 0 4082610 1994512
"281" "sample_37" 3389718 63344 0 3578434 1731104
"321" "sample_13" 5546116 59866 0 5718768 2805154
"331" "sample_35" 4357642 26488 0 4419262 2194149
"351" "sample_55" 2703732 38100 0 2809608 1374159
"361" "sample_74" 6722800 122808 0 7041276 3425293
"371" "sample_36" 5688524 59162 0 5816198 2875479
"381" "sample_83" 5529754 315592 0 6214738 2924681
"391" "sample_24" 5477648 841920 0 7172090 3160812
"401" "sample_81" 9339886 33522 0 9433932 4690417
"411" "sample_61" 2462714 142888 0 2988848 1361980
