"Var1" "Var2" "value" "statistic"
"85" "RSEM_cor" "ERR1211190" 0.895161039464495 "spearmans"
"86" "Salmon_align_cor" "ERR1211190" 0.8568415547678 "spearmans"
"87" "Salmon_quasi_cor" "ERR1211190" 0.89788884287223 "spearmans"
"88" "Salmon_SMEM_cor" "ERR1211190" 0.902449996981172 "spearmans"
"89" "Sailfish_cor" "ERR1211190" 0.892795505475927 "spearmans"
"90" "eXpress_cor" "ERR1211190" 0.672937760943073 "spearmans"
"91" "Kallisto_cor" "ERR1211190" 0.901060990538104 "spearmans"
"92" "RSEM_cor" "ERR1211191" 0.884036952459713 "spearmans"
"93" "Salmon_align_cor" "ERR1211191" 0.839688178434791 "spearmans"
"94" "Salmon_quasi_cor" "ERR1211191" 0.891137053547733 "spearmans"
"95" "Salmon_SMEM_cor" "ERR1211191" 0.897099719641593 "spearmans"
"96" "Sailfish_cor" "ERR1211191" 0.886477805907699 "spearmans"
"97" "eXpress_cor" "ERR1211191" 0.661301810232682 "spearmans"
"98" "Kallisto_cor" "ERR1211191" 0.893872290569211 "spearmans"
"99" "RSEM_cor" "ERR1211192" 0.871279011106859 "spearmans"
"100" "Salmon_align_cor" "ERR1211192" 0.820822676968129 "spearmans"
"101" "Salmon_quasi_cor" "ERR1211192" 0.87709067596532 "spearmans"
"102" "Salmon_SMEM_cor" "ERR1211192" 0.883384073348396 "spearmans"
"103" "Sailfish_cor" "ERR1211192" 0.874079412886659 "spearmans"
"104" "eXpress_cor" "ERR1211192" 0.642766599216253 "spearmans"
"105" "Kallisto_cor" "ERR1211192" 0.879739578416116 "spearmans"
"106" "RSEM_cor" "ERR1211194" 0.893523559958341 "spearmans"
"107" "Salmon_align_cor" "ERR1211194" 0.856425197532368 "spearmans"
"108" "Salmon_quasi_cor" "ERR1211194" 0.899687515037985 "spearmans"
"109" "Salmon_SMEM_cor" "ERR1211194" 0.902134700226322 "spearmans"
"110" "Sailfish_cor" "ERR1211194" 0.894626948027978 "spearmans"
"111" "eXpress_cor" "ERR1211194" 0.679079105419603 "spearmans"
"112" "Kallisto_cor" "ERR1211194" 0.901603779080081 "spearmans"
"113" "RSEM_cor" "ERR1211195" 0.89037907344236 "spearmans"
"114" "Salmon_align_cor" "ERR1211195" 0.851964007357743 "spearmans"
"115" "Salmon_quasi_cor" "ERR1211195" 0.8973051280669 "spearmans"
"116" "Salmon_SMEM_cor" "ERR1211195" 0.897948751345761 "spearmans"
"117" "Sailfish_cor" "ERR1211195" 0.89028096278779 "spearmans"
"118" "eXpress_cor" "ERR1211195" 0.667464984543523 "spearmans"
