"Simulation" "Statistic" "Tool" "Value" "ID"
"83" "RSEMsim" "nrmse" "eXpress_nmrse" 46.8 "all"
"84" "RSEMsim" "nrmse" "Kallisto_nmrse" 15.6 "all"
"85" "RSEMsim" "nrmse" "RSEM_nmrse" 18.7 "all"
"86" "RSEMsim" "nrmse" "Salmon_align_nmrse" 28 "all"
"87" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 16 "all"
"88" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 16 "all"
"89" "RSEMsim" "nrmse" "Sailfish_nmrse" 17.1 "all"
"90" "RSEMsim" "nrmse" "eXpress_nmrse" 45.5 "all"
"91" "RSEMsim" "nrmse" "Kallisto_nmrse" 16 "all"
"92" "RSEMsim" "nrmse" "RSEM_nmrse" 19.8 "all"
"93" "RSEMsim" "nrmse" "Salmon_align_nmrse" 28.7 "all"
"94" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 16.8 "all"
"95" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 16 "all"
"96" "RSEMsim" "nrmse" "Sailfish_nmrse" 18.6 "all"
"97" "RSEMsim" "nrmse" "eXpress_nmrse" 44.3 "all"
"98" "RSEMsim" "nrmse" "Kallisto_nmrse" 17 "all"
"99" "RSEMsim" "nrmse" "RSEM_nmrse" 18 "all"
"100" "RSEMsim" "nrmse" "Salmon_align_nmrse" 27.6 "all"
"101" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 16.3 "all"
"102" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 15.8 "all"
"103" "RSEMsim" "nrmse" "Sailfish_nmrse" 17.5 "all"
"104" "RSEMsim" "nrmse" "eXpress_nmrse" 49.6 "all"
"105" "RSEMsim" "nrmse" "Kallisto_nmrse" 16.3 "all"
"106" "RSEMsim" "nrmse" "RSEM_nmrse" 19.7 "all"
"107" "RSEMsim" "nrmse" "Salmon_align_nmrse" 28.8 "all"
"108" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 16.7 "all"
"109" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 16.7 "all"
"110" "RSEMsim" "nrmse" "Sailfish_nmrse" 19.3 "all"
"111" "RSEMsim" "nrmse" "eXpress_nmrse" 43.2 "all"
"112" "RSEMsim" "nrmse" "Kallisto_nmrse" 16.9 "all"
"113" "RSEMsim" "nrmse" "RSEM_nmrse" 18 "all"
"114" "RSEMsim" "nrmse" "Salmon_align_nmrse" 24.9 "all"
"115" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 14 "all"
"116" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 14.1 "all"
"117" "RSEMsim" "nrmse" "Sailfish_nmrse" 15.5 "all"
"118" "RSEMsim" "nrmse" "eXpress_nmrse" 46.5 "all"
"119" "RSEMsim" "nrmse" "Kallisto_nmrse" 14 "all"
"120" "RSEMsim" "nrmse" "RSEM_nmrse" 19.6 "all"
"121" "RSEMsim" "nrmse" "Salmon_align_nmrse" 27.7 "all"
"122" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 17 "all"
"123" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 16.7 "all"
"124" "RSEMsim" "nrmse" "Sailfish_nmrse" 18.3 "all"
"125" "RSEMsim" "nrmse" "eXpress_nmrse" 38.9 "all"
"126" "RSEMsim" "nrmse" "Kallisto_nmrse" 17.2 "all"
"127" "RSEMsim" "nrmse" "RSEM_nmrse" 18 "all"
"128" "RSEMsim" "nrmse" "Salmon_align_nmrse" 26.4 "all"
"129" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 16.3 "all"
