"Filename" "Unique" "NonUnique" "Unmapped" "NumAlignments" "NumReads"
"1" "MaleB12" 4174939 236469 0 4725475 2274633
"3" "MaleB587" 4129083 303574 0 4903918 2300540
"8" "MaleB532" 4442417 126034 0 4799910 2367827
"9" "MaleB554" 4854484 165674 0 5262689 2596712
"14" "MaleB4" 4031959 206944 0 4537608 2192367
"15" "MaleB565" 5015385 491138 0 6107753 2856134
"17" "MaleB542" 4404522 171251 0 4840551 2376120
"19" "MaleB555" 3843820 172728 0 4251366 2067194
"20" "MaleB583" 4035559 167954 0 4443301 2168876
"22" "MaleB66" 4041318 233016 0 4623382 2210611
"24" "MaleB18" 4964840 178777 0 5408144 2653122
"25" "MaleB95" 4549808 283416 0 5280400 2511975
"34" "MaleB23" 5639195 252561 0 6221185 3030645
"39" "MaleB567" 5003195 128157 0 5326054 2625000
"40" "MaleB8" 5826745 265140 0 6499795 3152489
"45" "MaleB93" 4030090 195009 0 4517417 2190861
"50" "MaleB73" 4926368 205109 0 5437622 2654023
"55" "MaleB61" 4339034 155099 0 4734063 2324808
"56" "MaleB51" 4259890 209485 0 4744483 2305143
"57" "MaleB19" 5174775 180812 0 5647441 2769748
"72" "MaleB29" 5203325 159489 0 5628333 2771772
"89" "MaleB562" 4844661 197519 0 5348804 2578074
"90" "MaleB524" 5058132 237483 0 5634256 2717601
"92" "MaleB549" 4415243 251998 0 5008419 2410085
"94" "MaleB22" 4371184 191279 0 4856934 2366791
"109" "MaleB72" 4983108 226310 0 5506437 2689079
"119" "MaleB67" 8443704 323088 0 9212461 4487857
"120" "MaleB509" 4900876 261292 0 5512973 2642214
"122" "MaleB96" 4413682 119896 0 4745371 2341367
"126" "MaleB548" 4045653 148122 0 4397109 2142010
"128" "MaleB35" 7007340 426169 0 8129406 3814344
"130" "MaleB31" 3978322 135722 0 4334485 2133975
"131" "MaleB90" 3550493 232435 0 4103976 1979665
"135" "MaleB53" 4322012 144054 0 4693258 2312883
"136" "MaleB581" 3408242 108940 0 3681140 1813540
"137" "MaleB552" 3944675 132291 0 4295416 2125831
"141" "MaleB541" 3643680 160294 0 4042845 1942903
"142" "MaleB75" 4061861 229984 0 4651481 2222317
"144" "MaleB544" 4484939 119084 0 4769242 2363090
"145" "MaleB60" 6088400 256472 0 6760763 3241964
"146" "MaleB586" 5337110 262210 0 5936645 2890973
"148" "MaleB11" 5786890 201532 0 6308057 3066987
"149" "MaleB584" 3965876 178959 0 4381083 2148603
"150" "MaleB557" 4596326 240890 0 5197650 2480032
"151" "MaleB94" 4576884 190201 0 5043667 2457361
"152" "MaleB576" 4098139 221467 0 4670177 2209739
"153" "MaleB556" 4970856 155151 0 5406931 2653585
"154" "MaleB572" 4400158 132176 0 4756875 2327523
"155" "MaleB520" 5589291 260608 0 6229890 3026677
"157" "MaleB26" 4322794 177285 0 4788129 2333979
"158" "MaleB558" 5443112 201340 0 5917216 2895171
"159" "MaleB503" 5853971 416029 0 6847460 3213216
"161" "MaleB592" 5598830 249207 0 6192386 3024034
"162" "MaleB561" 5145712 214186 0 5742643 2736978
"163" "MaleB575" 3802083 184415 0 4246843 2085886
"164" "MaleB545" 4877398 285864 0 5585367 2674960
"165" "MaleB64" 5429577 290587 0 6156402 2952742
"167" "MaleB528" 5226144 167795 0 5639698 2783753
"168" "MaleB546" 5424700 155555 0 5806010 2860821
"169" "MaleB505" 4444791 123990 0 4757529 2338926
"171" "MaleB7" 5194775 287073 0 5890882 2819383
"172" "MaleB547" 4577759 115680 0 4900743 2413365
"173" "MaleB571" 6254622 169729 0 6709364 3313624
"174" "MaleB526" 4409664 319816 0 5163089 2452806
"175" "MaleB551" 6341690 140353 0 6705219 3337544
"177" "MaleB559" 5695064 158109 0 6136296 3011889
"180" "MaleB65" 6313332 277809 0 7036093 3399306
"181" "MaleB553" 5256113 290189 0 5937730 2844790
"182" "MaleB9" 5206318 236061 0 5769986 2806402
"184" "MaleB589" 5869565 278667 0 6563245 3166334
"185" "MaleB78" 5749719 285695 0 6455593 3106432
"186" "MaleB13" 7092817 263415 0 7713429 3770066
"187" "MaleB523" 5965860 162184 0 6379633 3157829
"189" "MaleB54" 5468628 167977 0 5885220 2916992
"190" "MaleB525" 6224215 249993 0 6823537 3339313
"191" "MaleB68" 6821178 266412 0 7481668 3641685
"192" "MaleB27" 4441606 137512 0 4798766 2383245
"121" "MaleB46" 4503693 198350 0 4977077 2415195
"143" "MaleB48" 5593425 527206 0 6828413 3159968
"201" "MaleB45" 4236151 149049 0 4643983 2272371
"221" "MaleB81" 5438259 181252 0 5905097 2903157
"331" "MaleB512" 5716384 242702 0 6302607 3050683
"381" "MaleB41" 4231343 285152 0 4900947 2351177
"461" "MaleB42" 4938552 397613 0 5794241 2736210
"471" "MaleB85" 4963672 126720 0 5293172 2618806
"551" "MaleB538" 5063235 147909 0 5427800 2683856
"571" "MaleB513" 4724281 91235 0 4960377 2501952
"59" "MaleB47" 4289091 177809 0 4730115 2315556
"61" "MaleB71" 5328828 265285 0 6004124 2881209
"62" "MaleB514" 4958900 124407 0 5277886 2635709
"63" "MaleB530" 5404928 294914 0 6146126 2932839
"64" "MaleB79" 5820531 246374 0 6415363 3119554
"66" "MaleB74" 5136869 203791 0 5642189 2772419
"67" "MaleB89" 6307198 387279 0 7262813 3446863
"68" "MaleB536" 5987572 293226 0 6674459 3210550
"69" "MaleB49" 6958291 230382 0 7526993 3701303
