"Filename" "Unique" "NonUnique" "Unmapped" "NumAlignments" "NumReads"
"1" "ERR1211565" 5825632 556258 0 7324844 3604494
"2" "ERR1211561" 7317116 633346 0 8933962 4354612
"3" "ERR1211558" 2290732 263490 0 3000766 1452782
"4" "ERR1211478" 1444408 151242 0 1839774 871039
"5" "ERR1211648" 6373524 1095998 0 9073780 4364105
"6" "ERR1211268" 2985062 399544 0 4029068 2121406
"7" "ERR1211252" 6266736 440672 0 7475448 3886930
"8" "ERR1211222" 8755368 697176 0 10656244 5413560
"10" "ERR1211545" 5952472 726460 0 7786444 3842823
"11" "ERR522930" 458432 60100 0 660396 1800992
"12" "ERR1211255" 7701944 646818 0 9491422 4825782
"13" "ERR1211540" 8643844 1084860 0 11601482 5540654
"14" "ERR1211567" 9754768 920098 0 12167314 5873669
"15" "ERR1211190" 8499848 649438 0 10353562 5287713
"16" "ERR1211178" 10676926 927162 0 12990446 6787622
"17" "ERR1211529" 10640296 1338896 0 14116638 6773526
"18" "ERR1211523" 6375394 714944 0 8289854 4039329
"19" "ERR523072" 8766066 1278086 0 12226672 5941116
"20" "ERR1211544" 9030180 942880 0 11616332 5613265
"21" "ERR1211204" 14600068 769662 0 16546440 8872733
"22" "ERR1211483" 12081244 1161664 0 15167770 7370740
"24" "ERR1211641" 13377178 1221368 0 16473158 8021768
"25" "ERR1211509" 12023264 1245654 0 15234460 7421665
"26" "ERR1211208" 9644766 1029350 0 12611394 6098485
"27" "ERR522901" 8669706 1234114 0 12155566 5765135
"29" "ERR523175" 8840998 1379954 0 12707826 5984842
"30" "ERR1211189" 15581424 961524 0 17975346 9521822
"32" "ERR1211584" 10700632 923020 0 13122886 6414468
"33" "ERR1211536" 9208846 1196188 0 12300344 5848765
"34" "ERR1211243" 11588970 782170 0 13554244 7095136
"35" "ERR1211492" 14393976 1480082 0 18321408 8862948
"36" "ERR1211628" 12495782 1467036 0 16286502 7717967
"37" "ERR1211527" 14377774 1280458 0 17996318 8791062
"39" "ERR1211563" 4777762 492252 0 6103650 2955055
"40" "ERR523136" 12920376 1927594 0 18201174 8834819
"41" "ERR1211495" 12543844 1247500 0 15927574 7708930
"42" "ERR1211592" 3568692 846678 0 5759446 2893099
"43" "ERR1211228" 12016540 1064628 0 14871076 7640685
"44" "ERR523031" 12230098 1665920 0 16692388 8225020
"45" "ERR1211261" 18118592 1158002 0 20822870 11108995
"46" "ERR1211517" 15530686 1502358 0 19554026 9527321
"47" "ERR1211230" 9047702 596496 0 10647658 5595535
"48" "ERR1211486" 5684488 688510 0 7565910 3665970
"49" "ERR1211496" 11478892 1163394 0 14708110 7084153
"50" "ERR1211217" 14492124 935964 0 16952592 8740188
"51" "ERR522941" 11259648 1469444 0 15284276 7575341
"52" "ERR1211265" 14231178 778594 0 16299956 8420031
"54" "ERR1211550" 847114 81982 0 1066364 509607
"55" "ERR1211531" 11001382 1289966 0 14692274 6966893
"56" "ERR1211647" 6634676 729190 0 8665230 4234385
"57" "ERR522955" 10480452 1279504 0 14078034 6623054
"58" "ERR522953" 410562 62168 0 636626 1505454
"59" "ERR1211232" 11116852 691826 0 12963382 6671020
"60" "ERR1211538" 2253262 278550 0 2985374 1402223
"61" "ERR522865" 15060666 2086722 0 21039382 10227396
"62" "ERR1211209" 18984354 554836 0 20446978 11251321
"63" "ERR1211505" 18874136 1775658 0 23418048 11432862
"64" "ERR1211631" 8948024 1070378 0 11833084 5633108
"65" "ERR1211571" 8265890 879238 0 10590778 5118392
"67" "ERR1211213" 12657490 932916 0 15060176 7676849
"68" "ERR1211580" 8458998 868102 0 10743630 5199094
"69" "ERR1211585" 16768674 1666764 0 21115050 10103871
"70" "ERR1211511" 3741220 812260 0 5930678 2791423
"71" "ERR1211469" 8687390 1051930 0 11467984 5454051
"72" "ERR1211241" 20354972 1165678 0 23447140 12203217
"73" "ERR1211589" 11834282 1480556 0 15566352 7391767
"74" "ERR1211195" 8138990 592930 0 9790612 5056094
"75" "ERR523169" 11454262 1683664 0 16277080 7920217
"76" "ERR1211187" 9128720 662624 0 10960466 5561190
"77" "ERR1211636" 9242472 972046 0 11816524 5738695
"78" "ERR1211248" 8382592 648544 0 10169078 5256016
"79" "ERR1211643" 183122 34016 0 269082 126115
"80" "ERR1211594" 10102348 1056362 0 12960968 6294202
"81" "ERR1211227" 5416950 566886 0 7058054 3507351
"82" "ERR1211542" 2292674 852406 0 4620264 2754483
"83" "ERR1211467" 7721966 994376 0 10393796 5022020
"84" "ERR1211522" 9626540 1072632 0 12603450 6058990
"85" "ERR1211593" 12947444 1419216 0 16765892 8013588
"86" "ERR1211210" 14112198 1109172 0 16834158 8845144
"87" "ERR523051" 12102238 1792276 0 17002058 8105040
"88" "ERR1211201" 17314006 1055470 0 20078830 10360818
"89" "ERR1211223" 10388968 923470 0 12716092 6512649
"90" "ERR1211620" 11239712 1140948 0 14352132 6963277
"91" "ERR523029" 15267556 2087598 0 21025612 10243293
"92" "ERR1211564" 8328280 938576 0 10746036 5120082
"93" "ERR523185" 15515504 2050632 0 21316384 10416439
"95" "ERR1211472" 6254598 650368 0 8171474 3918633
"96" "ERR1211234" 15769768 956032 0 17987940 9612263
"98" "ERR523158" 19763724 2137648 0 25501262 12757638
"99" "ERR1211642" 8405648 909970 0 10801552 5304059
"100" "ERR1211609" 2935496 723444 0 4773064 2398295
"101" "ERR1211611" 10148274 2101776 0 16919862 7548437
"102" "ERR522929" 19675102 2845536 0 27435322 13309222
"103" "ERR1211541" 6572060 639174 0 8383892 4135655
"104" "ERR1211524" 9858350 1021402 0 12621958 6119544
"105" "ERR1211612" 17346890 1783256 0 21980692 10516381
"106" "ERR522959" 6946370 1019954 0 9752684 4865943
"107" "ERR1211502" 15931186 1346534 0 19576702 9579380
"108" "ERR1211583" 18007508 1721222 0 22513812 10834136
"109" "ERR1211629" 11148514 1091230 0 14039872 6795615
"110" "ERR1211183" 8575976 591100 0 10152202 5206500
"111" "ERR1211573" 15882316 1636968 0 20251558 9597198
"112" "ERR1211491" 5743996 857950 0 8221320 3875965
"113" "ERR523100" 277166 58220 0 486250 3026118
"114" "ERR1211489" 15258138 1540042 0 19341646 9350642
"115" "ERR1211221" 11182378 685884 0 13121430 6730567
"117" "ERR522868" 15681540 2238812 0 21925672 10711189
"118" "ERR1211626" 10620158 1016356 0 13384472 6521592
"119" "ERR1211203" 13704932 920038 0 16238418 8280025
"121" "ERR1211500" 13059730 1449328 0 16852908 8054293
"122" "ERR1211556" 7458490 974638 0 9897140 4973157
"123" "ERR523097" 162484 24340 0 231272 944757
"124" "ERR1211184" 13736666 812392 0 15705236 8390534
