"tools" "spearmans_results" "spearmans_error" "nrmse_results" "nrmse_error" "percentage_zeros" "cell_type"
"35" "Kallisto" "0.994659588226788" "0.000229746780536626" "13.7625" "0.396171966463421" "20" "B"
"36" "RSEM" "0.888795630365991" "0.00105517328868977" "20.5350553505535" "0.0900470602798917" "100" "ES"
"37" "Salmon Alignment" "0.84916366459575" "0.00107457032962511" "25.6553505535055" "0.0944756532641539" "100" "ES"
"38" "Salmon Quasi" "0.895349292893315" "0.00123788962591139" "20.3712177121771" "0.0919869723972675" "100" "ES"
"39" "Salmon SMEM" "0.900560240382741" "0.0012527364634786" "19.8125461254613" "0.0914387261163265" "100" "ES"
"40" "Sailfish" "0.890045838916838" "0.00117816642783858" "21.0612546125461" "0.101488388674916" "100" "ES"
"41" "eXpress" "0.700527392548707" "0.00165594450278329" "36.8929889298893" "1.02141145190993" "100" "ES"
"42" "Kallisto" "0.897876805477773" "0.00126542789775689" "20.4180811808118" "0.0879388603672456" "100" "ES"
"43" "RSEM" "0.948901265233567" "0.000974856073828836" "18.4535055350553" "0.0957776177054103" "80" "ES"
"44" "Salmon Alignment" "0.929849717606649" "0.00106508027213669" "23.6867158671587" "0.113563676944192" "80" "ES"
"45" "Salmon Quasi" "0.953453879423178" "0.000952063628986399" "18.6376383763838" "0.0939058822801463" "80" "ES"
"46" "Salmon SMEM" "0.955566905628611" "0.00094234355901526" "18.2774907749078" "0.0918083026487573" "80" "ES"
"47" "Sailfish" "0.953609694960908" "0.000972956402248338" "17.5527675276753" "0.0914669765266092" "80" "ES"
"48" "eXpress" "0.892408089803269" "0.0018991747436829" "35.090405904059" "1.0258693986907" "80" "ES"
"49" "Kallisto" "0.953304436092631" "0.000947967174545114" "19.0671586715867" "0.0867021178460656" "80" "ES"
"50" "RSEM" "0.970399265379968" "0.000874631722173966" "17.1317343173432" "0.0990460915997406" "60" "ES"
"51" "Salmon Alignment" "0.958754167780414" "0.000945310234981577" "21.9125461254613" "0.11486825339141" "60" "ES"
"52" "Salmon Quasi" "0.971174246100931" "0.00075674237362324" "17.9649446494465" "0.107993805101369" "60" "ES"
"53" "Salmon SMEM" "0.972245522590794" "0.000742431085844677" "17.6741697416974" "0.106170122725614" "60" "ES"
"54" "Sailfish" "0.974034250267732" "0.000815328218204703" "15.8785977859779" "0.0897870673780094" "60" "ES"
"55" "eXpress" "0.936807497772834" "0.00157111794768518" "33.2690036900369" "1.04583948709124" "60" "ES"
"56" "Kallisto" "0.970059321605776" "0.000739325534763843" "18.6166051660517" "0.105393389387664" "60" "ES"
"57" "RSEM" "0.980071170780977" "0.000746637194448026" "16.3332103321033" "0.100200776100321" "40" "ES"
