"Filename" "Unique" "NonUnique" "Unmapped" "NumAlignments" "NumReads"
"1" "ERR1211564" 7939038 781714 0 9782942 5120082
"4" "ERR1211472" 6067272 424650 0 7172832 3918633
"6" "ERR1211485" 7618518 715170 0 9304872 5119329
"7" "ERR1211557" 5585308 586932 0 6975944 3777552
"8" "ERR522955" 10236882 862442 0 12444170 6623054
"11" "ERR1211552" 5549502 562282 0 6888504 3920661
"13" "ERR1211640" 5195396 530144 0 6486530 3696678
"14" "ERR1211521" 7293184 702958 0 8970294 4850240
"16" "ERR1211524" 9237090 818870 0 11221304 6119544
"17" "ERR1211561" 6805060 585560 0 8169794 4354612
"18" "ERR1211266" 5996442 382750 0 6897930 4086551
"23" "ERR1211222" 8178350 505386 0 9375916 5413560
"24" "ERR1211573" 15049054 1387356 0 18380100 9597198
"26" "ERR1211565" 5422300 452036 0 6530428 3604494
"27" "ERR1211196" 11607348 505134 0 12741000 7571885
"29" "ERR1211235" 13464236 675416 0 14876446 8738949
"31" "ERR523125" 4910916 559294 0 6325520 3816493
"32" "ERR523111" 7756780 787282 0 9757862 5575471
"33" "ERR1211647" 6427128 508412 0 7731096 4234385
"34" "ERR1211198" 14539258 811960 0 16449432 9136905
"36" "ERR1211551" 6350466 536924 0 7684900 4301365
"37" "ERR1211532" 9758236 917744 0 11914884 6615548
"38" "ERR1211190" 7966096 434698 0 9034864 5287713
"40" "ERR1211628" 11791300 1289720 0 14824072 7717967
"41" "ERR1211240" 8477474 503818 0 9658610 5614378
"42" "ERR1211258" 8896924 567070 0 10247486 5844745
"43" "ERR1211230" 7888344 460898 0 8899642 5595535
"44" "ERR1211480" 9304550 805512 0 11228064 6265390
"46" "ERR1211562" 5758472 550534 0 7088552 3852735
"47" "ERR523195" 6770226 708026 0 8508016 5020981
"48" "ERR1211489" 13914058 1396992 0 17172080 9350642
"49" "ERR1211255" 7308090 433144 0 8348058 4825782
"52" "ERR1211254" 6678262 427610 0 7735546 4686733
"54" "ERR523060" 13296842 1359302 0 16666692 9426805
"57" "ERR1211234" 14505388 848564 0 16256124 9612263
"58" "ERR1211629" 10335414 939472 0 12566076 6795615
"60" "ERR523153" 10483468 1069736 0 13205880 7459668
"66" "ERR523073" 6094692 734190 0 7907064 4451053
"68" "ERR1211637" 11282684 962656 0 13587904 7081080
"69" "ERR1211633" 10193186 1001292 0 12529358 6729384
"70" "ERR1211211" 13552780 687834 0 15188968 8666215
"71" "ERR1211649" 9077658 744218 0 10907252 5744014
"73" "ERR1211513" 12643072 1197110 0 15503276 8345299
"76" "ERR1211251" 8687848 574946 0 10054240 5644813
"77" "ERR1211499" 8876942 830208 0 10833592 5921268
"80" "ERR1211194" 9032052 524542 0 10329758 6043919
"81" "ERR1211484" 10909858 1121528 0 13534712 7357616
"82" "ERR523135" 7511796 727522 0 9421930 5034320
"84" "ERR1211526" 5274608 526460 0 6530544 3566064
"86" "ERR1211523" 5772306 611946 0 7211978 4039329
"87" "ERR1211195" 7459168 430646 0 8501326 5056094
"89" "ERR523020" 9534194 1116100 0 12262908 7250409
"93" "ERR1211533" 5968212 521736 0 7234094 4085668
"94" "ERR523007" 9640482 1084832 0 12279774 7046563
"96" "ERR523178" 10060936 1056132 0 12717932 7682317
"97" "ERR1211535" 8588170 841008 0 10540450 5933515
"98" "ERR1211653" 10730426 905532 0 12909044 6727818
"99" "ERR1211220" 13187532 658790 0 14697716 8292365
"100" "ERR1211219" 9761272 524702 0 10889816 6485424
"102" "ERR522906" 9512006 1092230 0 12195410 6944441
"103" "ERR1211468" 7144844 594658 0 8590264 4672757
"104" "ERR1211655" 10930672 931762 0 13205550 7368090
"105" "ERR523040" 6489230 790886 0 8453014 5019978
"106" "ERR523072" 8169038 939242 0 10461836 5941116
"108" "ERR1211189" 14565296 732890 0 16114184 9521822
"109" "ERR1211601" 14438048 1343738 0 17572940 9186504
"110" "ERR1211642" 7780276 740966 0 9535900 5304059
"111" "ERR1211584" 10058104 798454 0 11993196 6414468
"112" "ERR522931" 11363130 1218044 0 14347322 8014027
"113" "ERR1211470" 9799832 848998 0 11837154 6393572
"114" "ERR1211247" 11513946 561442 0 12693974 7611443
"115" "ERR1211566" 11218168 916936 0 13438864 6988614
"116" "ERR1211544" 8706748 709532 0 10455986 5613265
"117" "ERR1211571" 7643438 751876 0 9444686 5118392
"118" "ERR1211607" 8839230 842218 0 10890156 5772840
"119" "ERR522864" 9451688 1067266 0 11994648 6797207
"120" "ERR523175" 8456576 930558 0 10771708 5984842
"121" "ERR1211204" 13587582 557086 0 14741012 8872733
"123" "ERR1211207" 17551182 762486 0 19142544 11176729
"124" "ERR1211185" 11232148 674584 0 12746410 7459611
"125" "ERR1211635" 6450896 484078 0 7659296 4167766
"126" "ERR1211541" 6220002 441614 0 7330394 4135655
"127" "ERR1211497" 9411824 915922 0 11571810 6329721
"128" "ERR523199" 10327584 975338 0 12727224 7255343
"129" "ERR1211256" 11809668 450466 0 12767766 7627110
"130" "ERR1211588" 6779428 685628 0 8413976 4522256
"131" "ERR1211631" 8775618 786954 0 10723074 5633108
"132" "ERR1211243" 10553202 653116 0 11923228 7095136
"134" "ERR1211267" 8017466 417350 0 9000464 5218476
"136" "ERR522850" 9661942 1104076 0 12437028 7494621
"137" "ERR1211534" 10321138 1068530 0 12809060 6929406
"138" "ERR1211517" 14271696 1299634 0 17377392 9527321
"140" "ERR522902" 9255346 1041180 0 11807020 7096472
"141" "ERR1211186" 13010138 648086 0 14539974 8202956
"142" "ERR523051" 11389282 1310480 0 14522164 8105040
"143" "ERR1211248" 7696712 469236 0 8817496 5256016
"144" "ERR1211579" 12899758 1156224 0 15633202 8302503
"145" "ERR1211553" 10287504 978284 0 12623744 6811861
"146" "ERR1211615" 11912204 1089448 0 14527036 7814863
"147" "ERR522901" 8128280 866434 0 10304846 5765135
"148" "ERR1211229" 11348820 560700 0 12843922 7979922
"150" "ERR1211531" 9755360 1109144 0 12620018 6966893
"151" "ERR1211569" 9111986 829646 0 11062752 5759809
"153" "ERR1211224" 15336002 750658 0 17128018 9787466
"154" "ERR1211261" 16920324 961144 0 18915894 11108995
"155" "ERR1211191" 12547832 662044 0 14160520 8098410
"156" "ERR1211264" 7779782 418454 0 8690712 5200650
"157" "ERR1211200" 12384216 664884 0 14008724 7980649
"158" "ERR1211210" 13422938 813952 0 15095952 8845144
"159" "ERR1211269" 10594024 361412 0 11361368 6915578
"161" "ERR1211217" 13751032 689536 0 15345548 8740188
"163" "ERR1211595" 17738516 1569822 0 21466958 11194101
"166" "ERR1211201" 16444992 806298 0 18321076 10360818
"167" "ERR1211505" 17253610 1666984 0 21105008 11432862
"169" "ERR1211232" 10267090 541082 0 11513698 6671020
"172" "ERR1211260" 17559800 752082 0 19131046 11312324
"173" "ERR1211509" 10941766 1145694 0 13583262 7421665
"174" "ERR1211625" 8312154 1684324 0 13705792 6345306
"177" "ERR1211519" 10475276 901466 0 12672306 7072809
"179" "ERR1211613" 9004260 821518 0 10968998 5777327
"181" "ERR1211515" 14537628 1487450 0 18008628 9962941
"182" "ERR1211636" 8631120 815734 0 10589146 5738695
"184" "ERR1211259" 13159660 667202 0 14766004 8462001
"185" "ERR1211481" 8422932 851584 0 10402272 5791093
"186" "ERR522883" 13563160 1584486 0 17401252 9884121
"187" "ERR1211507" 13045030 1264796 0 16080756 8723198
"188" "ERR523126" 15987330 1368870 0 19401276 11039856
"189" "ERR1211576" 15834640 1391158 0 19121808 9966243
"190" "ERR1211627" 15181962 1312274 0 18310150 9789203
"192" "ERR1211495" 11477290 1078938 0 14034898 7708930
"194" "ERR522959" 6458194 732282 0 8267636 4865943
"195" "ERR1211494" 15856630 1380656 0 19154886 10408933
"196" "ERR523066" 14248670 1091816 0 17061222 9923500
"197" "ERR1211621" 6201358 566394 0 7591438 4227025
"198" "ERR1211184" 12868734 646996 0 14245456 8390534
"200" "ERR1211624" 8067784 651030 0 9660576 5376940
"201" "ERR1211228" 11395802 704554 0 12918092 7640685
"202" "ERR522934" 6636430 701982 0 8420644 5066491
"203" "ERR1211525" 15020274 1588918 0 18818576 9938103
"205" "ERR1211483" 11050578 1057582 0 13536452 7370740
"206" "ERR523029" 14140532 1547314 0 17935552 10243293
"208" "ERR1211208" 9148690 701966 0 10921008 6098485
"209" "ERR1211486" 5297034 535674 0 6594342 3665970
"210" "ERR1211546" 7139582 634490 0 8655748 4888435
"214" "ERR522868" 15071536 1454110 0 18722606 10711189
"217" "ERR1211567" 9221446 791294 0 11103968 5873669
"220" "ERR1211527" 13103866 1036692 0 15663082 8791062
"223" "ERR1211270" 11024254 528596 0 12138172 7306857
"225" "ERR1211583" 16868298 1538772 0 20505414 10834136
"226" "ERR1211641" 12465784 1131560 0 15127764 8021768
"227" "ERR1211199" 17297898 560760 0 18502704 11236488
"228" "ERR1211612" 16169334 1588970 0 19845534 10516381
"229" "ERR522830" 16293614 1708982 0 20546020 11503133
"230" "ERR1211626" 10131940 794912 0 12073600 6521592
"231" "ERR1211498" 11669648 1035126 0 14139618 7532842
"232" "ERR523185" 14443228 1425208 0 18051162 10416439
"239" "ERR1211506" 11360394 1102056 0 13997648 7499115
"240" "ERR1211611" 8594952 1283840 0 11959206 7548437
"241" "ERR1211622" 10983984 1018636 0 13383438 7209874
"242" "ERR1211245" 14309010 557818 0 15473876 9110092
"243" "ERR1211221" 10555064 457264 0 11681108 6730567
"245" "ERR523204" 13352698 1456212 0 16960960 9707130
"246" "ERR1211646" 9084656 851756 0 11112416 6041069
"247" "ERR1211645" 7678990 675130 0 9287894 4872970
"248" "ERR522998" 12868060 1319706 0 16083090 9452451
"250" "ERR522847" 9067428 946628 0 11435966 6637246
"251" "ERR1211610" 14263768 1240508 0 17227932 9069258
"253" "ERR523180" 15511758 1902634 0 20004466 10472619
"254" "ERR523031" 11477126 1250170 0 14516292 8225020
"255" "ERR1211226" 7418910 467474 0 8522168 5167244
"256" "ERR1211202" 12334344 724626 0 13866848 8475640
"257" "ERR1211598" 12334562 1107358 0 14930158 7926043
"259" "ERR1211540" 8298126 797592 0 10206790 5540654
"262" "ERR522865" 14037042 1355068 0 17429238 10227396
"264" "ERR1211600" 14605922 1200796 0 17515572 9020767
"268" "ERR1211242" 18126584 715202 0 19689506 11657234
"274" "ERR1211183" 8124952 454816 0 9207662 5206500
"275" "ERR1211502" 14502706 1179388 0 17355090 9579380
"277" "ERR1211225" 16434160 565862 0 17656766 10745576
"278" "ERR523046" 10813198 1186740 0 13686772 7875970
"279" "ERR1211231" 8467088 483556 0 9627752 5568643
"280" "ERR523006" 15249198 1659024 0 19353196 11007508
"281" "ERR1211594" 9333316 876180 0 11423596 6294202
"283" "ERR1211262" 5840084 352168 0 6662698 4062940
"284" "ERR1211180" 9064994 477468 0 10238846 5767849
"285" "ERR1211491" 5505910 570884 0 6968588 3875965
"286" "ERR1211528" 9854930 924596 0 12048586 6665085
"287" "ERR1211580" 8326974 645734 0 9908206 5199094
"289" "ERR1211522" 9185036 811942 0 11196198 6058990
"291" "ERR1211213" 11814654 758766 0 13552674 7676849
"292" "ERR1211223" 9962268 666924 0 11446764 6512649
"294" "ERR522885" 7478738 896816 0 9697030 5632422
"295" "ERR1211496" 10640550 947742 0 12918598 7084153
"296" "ERR1211227" 5174642 344514 0 6021972 3507351
"297" "ERR522948" 9998734 1126668 0 12791702 7430672
"298" "ERR1211587" 5769066 579986 0 7151850 3847223
"299" "ERR522909" 14313024 1351492 0 17642938 10084892
"300" "ERR523092" 13264256 1478418 0 16764876 9782542
"302" "ERR1211218" 13013260 722546 0 14736112 8156244
"304" "ERR1211560" 6680606 589852 0 8097486 4029641
"305" "ERR1211203" 13304544 601676 0 14765146 8280025
"308" "ERR1211618" 11692170 842468 0 13751424 7432282
"312" "ERR1211205" 8600750 530806 0 9942090 5764090
"313" "ERR1211252" 5809450 315648 0 6563938 3886930
"314" "ERR1211177" 13603444 660750 0 15127174 8748083
"315" "ERR1211608" 7540752 673582 0 9191972 4996582
"317" "ERR522892" 9673180 1012362 0 12232400 7231315
"320" "ERR523059" 12603392 1537688 0 16304182 9545528
"323" "ERR1211182" 6664020 443170 0 7692672 4477188
"324" "ERR1211488" 10675400 984484 0 13025226 7004383
"326" "ERR1211570" 7059474 645320 0 8576354 4641404
"327" "ERR1211237" 16543550 774066 0 18466538 10345755
"328" "ERR1211469" 8296060 829756 0 10264822 5454051
"329" "ERR1211176" 15634108 894982 0 17493444 10219727
"333" "ERR1211233" 9032024 446968 0 10092490 5824343
"334" "ERR523090" 7590330 960990 0 9986240 5884059
"335" "ERR1211487" 9200672 905050 0 11320284 6169290
"336" "ERR1211632" 6495568 594830 0 7929998 4412072
"337" "ERR1211572" 7981266 739832 0 9773988 5273100
"338" "ERR1211187" 8589918 472522 0 9729700 5561190
"339" "ERR1211263" 8810240 462334 0 9933090 5744904
"340" "ERR1211530" 15640560 1430022 0 19026658 10219603
"342" "ERR1211257" 9834794 522062 0 11053150 6360619
"343" "ERR1211493" 9390018 976058 0 11705636 6457596
"344" "ERR1211474" 10578730 852714 0 12652402 6693224
"345" "ERR523206" 10273698 1211746 0 13281778 7521617
"346" "ERR1211651" 13861906 1354478 0 17041508 9027774
"347" "ERR1211265" 13643162 597826 0 15117846 8420031
"349" "ERR523063" 7878740 833220 0 9926028 5556189
"351" "ERR1211214" 7973382 556992 0 9523960 5699599
"353" "ERR1211188" 8775704 521142 0 10059174 5950647
"354" "ERR1211244" 12013234 268112 0 12590754 7572274
"356" "ERR1211192" 14900730 756082 0 16693462 9405661
"357" "ERR522878" 10306952 941332 0 12594116 7682838
"358" "ERR1211476" 11614878 1008408 0 14019474 7778577
"360" "ERR523197" 8721706 931048 0 11004064 6481562
"361" "ERR1211620" 10506772 908944 0 12700174 6963277
"362" "ERR1211599" 8194616 717380 0 9935898 5401373
"364" "ERR1211554" 11936192 1192338 0 14712040 7911567
"366" "ERR1211574" 13915992 1262600 0 16870260 8842731
"367" "ERR522819" 7352352 894280 0 9516316 5692124
"368" "ERR1211605" 10105850 868246 0 12184642 6540571
"369" "ERR1211239" 12091154 583586 0 13347108 8064775
"371" "ERR1211617" 10854982 889352 0 13054872 6805612
"372" "ERR1211500" 12466208 1187446 0 15311522 8054293
"373" "ERR1211253" 15380918 799778 0 17240218 9676151
"377" "ERR1211593" 12203254 1120108 0 14827486 8013588
"379" "ERR522995" 14910580 1511818 0 18607938 10462068
"382" "ERR1211586" 14145448 1332332 0 17312612 9254693
"383" "ERR1211591" 14593898 1394548 0 17908276 9302935
"384" "ERR1211597" 12324830 1089628 0 14943320 7778309
"385" "ERR1211578" 10355148 890728 0 12472748 6801944
"386" "ERR1211582" 8099166 725848 0 9838954 5433488
"387" "ERR522829" 12138778 1239160 0 15259168 8653871
"388" "ERR1211271" 6946194 1198094 0 11748616 5997439
"390" "ERR522941" 10484414 1060988 0 13125616 7575341
"393" "ERR1211209" 18011592 329948 0 18711586 11251321
"394" "ERR1211179" 12477654 805146 0 14344142 7858868
"395" "ERR1211238" 14541708 727672 0 16089830 9718232
"396" "ERR523169" 10701382 1060280 0 13301136 7920217
"399" "ERR1211654" 15842852 1487676 0 19379310 10080542
"400" "ERR1211590" 16945352 1565362 0 20548584 10991316
"401" "ERR1211492" 13060888 1349690 0 16218234 8862948
"402" "ERR1211603" 12455182 1125664 0 15114664 8115858
"403" "ERR1211212" 12000016 737828 0 13849122 7957607
"405" "ERR1211197" 17936052 579234 0 19140926 11279495
"406" "ERR523136" 12241938 1325156 0 15465996 8834819
"409" "ERR1211520" 11978868 1137140 0 14629764 8001880
"411" "ERR1211503" 17718900 1606798 0 21559816 11364934
"415" "ERR522855" 16244962 1655948 0 20326942 11561496
"421" "ERR1211614" 16622360 1574236 0 20260026 10763904
"423" "ERR1211473" 13155220 1166864 0 15888766 8661819
"429" "ERR1211577" 7492272 730188 0 9238770 5076394
