"Filename" "Unique" "NonUnique" "Unmapped" "NumAlignments" "NumReads"
"2" "samplebias_30" 1995944 3898 0 2004432 1000001
"3" "samplebias_20" 1983294 16458 0 2017040 1000001
"4" "samplebias_52" 2988412 25354 0 3051072 1507505
"8" "samplebias_8" 3253474 50898 0 3385152 1658776
"9" "samplebias_67" 5331494 54988 0 5462010 2694438
"17" "samplebias_23" 3819432 437364 0 4711558 2129688
"23" "samplebias_64" 3943222 23952 0 4015530 1984752
"24" "samplebias_75" 2609054 48542 0 2737750 1332890
"25" "samplebias_29" 3457296 65406 0 3628634 1763800
"27" "samplebias_77" 3849470 28120 0 3914664 1939414
"28" "samplebias_34" 3170788 22094 0 3225388 1598926
"31" "samplebias_59" 2260850 47054 0 2378768 1154925
"33" "samplebias_28" 1983854 20334 0 2039486 1002837
"34" "samplebias_24" 1980158 19212 0 2023104 1000001
"36" "samplebias_16" 2593340 97332 0 2820598 1348131
"38" "samplebias_46" 3922404 15874 0 3962624 1969619
"40" "samplebias_10" 2069384 34586 0 2160308 1067718
"42" "samplebias_41" 2178826 19120 0 2230096 1101797
"43" "samplebias_42" 1926984 21548 0 1985932 984776
"44" "samplebias_13" 5547986 58402 0 5717256 2805154
"46" "samplebias_9" 1995122 4764 0 2004862 1000001
"47" "samplebias_39" 3327052 23604 0 3385986 1676305
"49" "samplebias_78" 4061056 37016 0 4224616 2097052
"51" "samplebias_71" 2626510 15272 0 2665244 1325304
"58" "samplebias_11" 2462432 118240 0 2800536 1302316
"59" "samplebias_14" 2300792 48540 0 2441346 1177878
"62" "samplebias_22" 1687174 23040 0 1748512 856278
"64" "samplebias_35" 4354350 28700 0 4419124 2194149
"65" "samplebias_88" 3265210 36442 0 3345990 1653001
"66" "samplebias_33" 4595080 163340 0 4946206 2380230
"68" "samplebias_55" 2701792 40494 0 2810078 1374159
"71" "samplebias_66" 7302936 26742 0 7371090 3668615
"73" "samplebias_5" 1996708 2730 0 2004050 1000001
"78" "samplebias_49" 2261766 51716 0 2389260 1162852
"79" "samplebias_85" 3258628 14780 0 3299150 1640271
"81" "samplebias_4" 3910882 63738 0 4086334 1988345
"82" "samplebias_3" 3212710 20880 0 3266338 1621044
"85" "samplebias_17" 6472742 76956 0 6683990 3282393
"87" "samplebias_62" 2511190 89100 0 2721074 1303337
"90" "samplebias_25" 4409378 71614 0 4607310 2245612
"93" "samplebias_80" 2719826 79456 0 2936586 1402344
"101" "samplebias_70" 3396436 19692 0 3442584 1708877
"105" "samplebias_73" 4800696 35578 0 4899274 2419002
"108" "samplebias_83" 5199038 646996 0 6560758 2924681
"111" "samplebias_18" 2887048 31752 0 2967800 1465863
"112" "samplebias_60" 3610476 973326 0 5574352 2293143
"113" "samplebias_21" 2709878 181742 0 3259998 1450367
"114" "samplebias_6" 1991272 8558 0 2010808 1000001
"117" "samplebias_12" 5881922 106072 0 6108600 2999510
"130" "samplebias_15" 3416368 40706 0 3522288 1731162
"135" "samplebias_1" 4398018 41946 0 4530514 2224925
"137" "samplebias_43" 3236854 39772 0 3334230 1646150
"138" "samplebias_76" 3354982 27782 0 3437878 1693038
"140" "samplebias_74" 6728296 117122 0 7027794 3425293
"142" "samplebias_79" 7312234 108586 0 7687978 3717760
"144" "samplebias_37" 3390952 62584 0 3559616 1731104
"147" "samplebias_84" 4757668 47996 0 4872854 2408692
"150" "samplebias_7" 2202908 24600 0 2272918 1115582
"155" "samplebias_2" 8770122 99826 0 9062636 4449708
"156" "samplebias_32" 4624722 35128 0 4733336 2332906
"157" "samplebias_87" 5769626 37186 0 5855958 2916564
"162" "samplebias_53" 3648652 64226 0 3828686 1858064
"163" "samplebias_58" 4695034 110382 0 4979642 2406114
"170" "samplebias_81" 9337398 36736 0 9441210 4690417
"178" "samplebias_89" 2348350 76690 0 2553414 1218286
"110" "samplebias_82" 3434128 28068 0 3501790 1732743
"210" "samplebias_86" 4288774 47890 0 4445546 2179228
"45" "samplebias_40" 8896062 63976 0 9071298 4491771
"510" "samplebias_61" 2462136 151016 0 3052666 1361980
"76" "samplebias_50" 10572428 120284 0 10996852 5424451
"83" "samplebias_56" 1636244 13734 0 1670830 826942
"95" "samplebias_47" 3945864 11760 0 3973256 1979672
"104" "samplebias_57" 4273296 59532 0 4452680 2168696
"116" "samplebias_38" 2066094 35552 0 2164176 1051496
"121" "samplebias_54" 2638334 34488 0 2739258 1339618
"145" "samplebias_51" 4202246 30258 0 4278108 2121036
"151" "samplebias_44" 2408634 58220 0 2572790 1235882
"161" "samplebias_31" 2812852 70664 0 3050656 1465082
"18" "samplebias_69" 4055718 44218 0 4208570 2053722
"191" "samplebias_45" 4105148 31634 0 4188692 2069252
"201" "samplebias_68" 10252052 36920 0 10337720 5145185
"211" "samplebias_63" 2296144 28348 0 2371948 1163374
"221" "samplebias_36" 5694342 52878 0 5809104 2875479
"231" "samplebias_26" 4244322 44136 0 4370238 2154894
"261" "samplebias_72" 3386672 20216 0 3448094 1706281
"291" "samplebias_48" 2738240 149114 0 3228474 1461898
"301" "samplebias_27" 6879062 76936 0 7125356 3501763
"311" "samplebias_65" 3908920 58270 0 4089052 1994512
"341" "samplebias_19" 6505516 547582 0 7680042 3527163
